epochs, batch_size, lrate, decay, truefalse, final_accuracy
(100, 32, 0.001, 1e-05, 1, 27.927927954776866)
(100, 32, 0.01, 0.0001, 0, 27.927927927927925)
(100, 32, 0.01, 0.0001, 1, 27.927927927927925)
(100, 32, 0.1, 0.001, 0, 24.324324324324326)
(100, 32, 0.1, 0.001, 1, 27.927927927927925)
(100, 32, 0.5, 0.005, 0, 26.126126126126124)
(100, 32, 0.5, 0.005, 1, 27.927927927927925)
(100, 32, 1.0, 0.01, 0, 26.126126126126124)
(100, 32, 1.0, 0.01, 1, 26.126126126126124)
(100, 32, 5.0, 0.05, 0, 26.126126126126124)
(100, 32, 5.0, 0.05, 1, 27.927927927927925)
(100, 32, 10.0, 0.1, 0, 27.927927927927925)
(100, 32, 10.0, 0.1, 1, 26.126126126126124)
(100, 32, 100.0, 1.0, 0, 26.126126126126124)
(100, 32, 100.0, 1.0, 1, 27.927927927927925)
(100, 64, 1e-06, 1e-08, 0, 27.927927927927925)
(100, 64, 1e-06, 1e-08, 1, 26.126126126126124)
(100, 64, 1e-05, 1.0000000000000001e-07, 0, 27.927927927927925)
(100, 64, 1e-05, 1.0000000000000001e-07, 1, 27.927927927927925)
(100, 64, 0.0001, 1e-06, 0, 36.03603617028073)
(100, 64, 0.0001, 1e-06, 1, 36.936937124879506)
(100, 64, 0.001, 1e-05, 0, 33.33333370921848)
(100, 64, 0.001, 1e-05, 1, 37.83783821372298)
(100, 64, 0.01, 0.0001, 0, 27.927927927927925)
(100, 64, 0.01, 0.0001, 1, 25.22522538631886)
(100, 64, 0.1, 0.001, 0, 26.126126126126124)
(100, 64, 0.1, 0.001, 1, 26.126126126126124)
(100, 64, 0.5, 0.005, 0, 26.126126126126124)
(100, 64, 0.5, 0.005, 1, 27.927927927927925)
(100, 64, 1.0, 0.01, 0, 27.927927927927925)
(100, 64, 1.0, 0.01, 1, 26.126126126126124)
(100, 64, 5.0, 0.05, 0, 27.927927927927925)
(100, 64, 5.0, 0.05, 1, 27.927927927927925)
(100, 64, 10.0, 0.1, 0, 27.927927927927925)
(100, 64, 10.0, 0.1, 1, 26.126126126126124)
(100, 64, 100.0, 1.0, 0, 27.927927927927925)
(100, 64, 100.0, 1.0, 1, 26.126126126126124)
(100, 128, 1e-06, 1e-08, 0, 27.927927927927925)
(100, 128, 1e-06, 1e-08, 1, 27.927927927927925)
(100, 128, 1e-05, 1.0000000000000001e-07, 0, 27.927927927927925)
(100, 128, 1e-05, 1.0000000000000001e-07, 1, 27.927927927927925)
(100, 128, 0.0001, 1e-06, 0, 40.54054062108736)
(100, 128, 0.0001, 1e-06, 1, 36.93693707118163)
(100, 128, 0.001, 1e-05, 0, 31.53153161207835)
(100, 128, 0.001, 1e-05, 1, 34.234234556421505)
(100, 128, 0.01, 0.0001, 0, 30.630630764875328)
(100, 128, 0.01, 0.0001, 1, 30.630630657479568)
(100, 128, 0.1, 0.001, 0, 27.927927927927925)
(100, 128, 0.1, 0.001, 1, 27.927927927927925)
(100, 128, 0.5, 0.005, 0, 27.927927927927925)
(100, 128, 0.5, 0.005, 1, 27.927927927927925)
(100, 128, 1.0, 0.01, 0, 27.927927927927925)
(100, 128, 1.0, 0.01, 1, 26.126126126126124)
(100, 128, 5.0, 0.05, 0, 27.927927927927925)
(100, 128, 5.0, 0.05, 1, 27.927927927927925)
(100, 128, 10.0, 0.1, 0, 27.927927927927925)
(100, 128, 10.0, 0.1, 1, 27.927927927927925)
(100, 128, 100.0, 1.0, 0, 27.927927927927925)
(100, 128, 100.0, 1.0, 1, 27.927927927927925)
(500, 8, 1e-06, 1.9999999999999997e-09, 0, 27.927927927927925)
(500, 8, 1e-06, 1.9999999999999997e-09, 1, 27.927927927927925)
(500, 8, 1e-05, 2e-08, 0, 32.432432479418075)
(500, 8, 1e-05, 2e-08, 1, 38.73873887298343)
(500, 8, 0.0001, 2.0000000000000002e-07, 0, 24.324324592813714)
(500, 8, 0.0001, 2.0000000000000002e-07, 1, 27.027027349214293)
(500, 8, 0.001, 2e-06, 0, 17.117117197663934)
(500, 8, 0.001, 2e-06, 1, 14.414414441263354)
(500, 8, 0.01, 2e-05, 0, 27.927927927927925)
(500, 8, 0.01, 2e-05, 1, 27.927927927927925)
(500, 8, 0.1, 0.0002, 0, 27.927927927927925)
(500, 8, 0.1, 0.0002, 1, 27.927927927927925)
(500, 8, 0.5, 0.001, 0, 27.927927927927925)
(500, 8, 0.5, 0.001, 1, 27.927927927927925)
(500, 8, 1.0, 0.002, 0, 24.324324324324326)
(500, 8, 1.0, 0.002, 1, 27.927927927927925)
(500, 8, 5.0, 0.01, 0, 27.927927927927925)
(500, 8, 5.0, 0.01, 1, 21.62162162162162)
(500, 8, 10.0, 0.02, 0, 24.324324324324326)
(500, 8, 10.0, 0.02, 1, 27.927927927927925)
(500, 8, 100.0, 0.2, 0, 24.324324324324326)
(500, 8, 100.0, 0.2, 1, 26.126126126126124)
(500, 16, 1e-06, 1.9999999999999997e-09, 0, 27.927927927927925)
(500, 16, 1e-06, 1.9999999999999997e-09, 1, 27.927927927927925)
